anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
6, 33, 0001, 1706017025.966284, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
1, 47, 0001, 1706017025.908922, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
3, 59, 0001, 1706017025.865846, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
4, 58, 0001, 1706017025.886475, 142, 0.196133, -0.4707192, 9.7281968, 0.0
5, 67, 0001, 1706017025.823872, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
3, 70, 0001, 1706017025.968579, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
5, 69, 0001, 1706017026.021342, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
2, 40, 0001, 1706017025.975252, 142, 0.196133, -0.4707192, 9.7281968, 0.0
4, 64, 0001, 1706017025.984539, 142, 0.196133, -0.4707192, 9.7281968, 0.0
2, 50, 0001, 1706017026.116036, 143, 0.1569064, -0.4707192, 9.7674234, 0.0
4, 60, 0001, 1706017026.167175, 143, 0.1569064, -0.4707192, 9.7674234, 0.0
5, 66, 0001, 1706017026.120178, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
3, 72, 0001, 1706017026.170315, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
1, 47, 0001, 1706017026.214391, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
1, 57, 0001, 1706017026.268902, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
3, 70, 0001, 1706017026.276656, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
5, 54, 0001, 1706017026.326223, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
3, 57, 0001, 1706017026.377651, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
6, 42, 0001, 1706017026.578174, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
5, 51, 0001, 1706017026.426532, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
2, 36, 0001, 1706017026.51, 143, 0.1569064, -0.4707192, 9.7674234, 0.0
3, 56, 0001, 1706017026.474812, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
1, 49, 0001, 1706017026.472676, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
1, 70, 0001, 1706017026.576613, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
6, 38, 0001, 1706017026.682146, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
2, 43, 0001, 1706017026.629214, 143, 0.1569064, -0.4707192, 9.7674234, 0.0
5, 73, 0001, 1706017026.532784, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
4, 57, 0001, 1706017026.694791, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
5, 54, 0001, 1706017026.63237, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
6, 39, 0001, 1706017026.784988, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
2, 44, 0001, 1706017026.771199, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
4, 70, 0001, 1706017026.803867, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
6, 38, 0001, 1706017026.891312, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
6, 39, 0001, 1706017026.941123, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
5, 73, 0001, 1706017026.835215, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
3, 69, 0001, 1706017026.869438, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
2, 50, 0001, 1706017026.878282, 144, 0.2745862, -0.6668522, 9.7674234, 0.0
1, 54, 0001, 1706017026.889348, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
1, 65, 0001, 1706017026.992066, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
3, 69, 0001, 1706017027.082047, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
5, 72, 0001, 1706017027.039208, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
6, 39, 0001, 1706017027.251798, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
3, 69, 0001, 1706017027.182591, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
4, 55, 0001, 1706017027.255711, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
5, 54, 0001, 1706017027.138263, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
1, 64, 0001, 1706017027.199185, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
1, 64, 0001, 1706017027.301452, 147, 0.196133, -0.5491724, 9.7281968, 0.0
3, 58, 0001, 1706017027.282667, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
5, 51, 0001, 1706017027.244892, 146, 0.1176798, -0.5491724, 9.7674234, 0.0
6, 38, 0001, 1706017027.460474, 147, 0.196133, -0.5491724, 9.7281968, 0.0
2, 36, 0001, 1706017027.37397, 145, 0.1176798, -0.4707192, 9.7281968, 0.0
