anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
5, 46, 0001, 1706020980.30134, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
3, 33, 0001, 1706020980.319836, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
6, 40, 0001, 1706020980.261381, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
5, 51, 0001, 1706020980.403912, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
3, 45, 0001, 1706020980.422748, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
1, 31, 0001, 1706020980.440852, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
6, 43, 0001, 1706020980.362498, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
2, 60, 0001, 1706020980.439616, 71, 0.2745862, -0.6276256, 9.7281968, 0.0
5, 48, 0001, 1706020980.502217, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
1, 31, 0001, 1706020980.547728, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
6, 46, 0001, 1706020980.467205, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
3, 42, 0001, 1706020980.618488, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
2, 67, 0001, 1706020980.573758, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
1, 33, 0001, 1706020980.652233, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
4, 57, 0001, 1706020980.609633, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
5, 57, 0001, 1706020980.605889, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
2, 55, 0001, 1706020980.706005, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
3, 36, 0001, 1706020980.722209, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
4, 66, 0001, 1706020980.728507, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
1, 33, 0001, 1706020980.756936, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
3, 58, 0001, 1706020980.829332, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
6, 40, 0001, 1706020980.776548, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
2, 60, 0001, 1706020980.856011, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
5, 40, 0001, 1706020980.906578, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
6, 50, 0001, 1706020980.880553, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
6, 42, 0001, 1706020980.985103, 75, 0.7453054, -0.980665, 9.6497436, 0.0
4, 34, 0001, 1706020981.027727, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
2, 41, 0001, 1706020981.12817, 72, 0.0784532, -0.9022118, 9.7674234, 0.0
5, 37, 0001, 1706020981.171639, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
6, 54, 0001, 1706020981.091799, 75, 0.7453054, -0.980665, 9.6497436, 0.0
1, 40, 0001, 1706020981.179651, 75, 0.7453054, -0.980665, 9.6497436, 0.0
5, 51, 0001, 1706020981.273143, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
3, 33, 0001, 1706020981.2889, 74, -0.1176798, -2.0790098, 9.5320638, 0.0
6, 41, 0001, 1706020981.199024, 75, 0.7453054, -0.980665, 9.6497436, 0.0
2, 55, 0001, 1706020981.251941, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
1, 31, 0001, 1706020981.38266, 75, 0.7453054, -0.980665, 9.6497436, 0.0
6, 44, 0001, 1706020981.301018, 75, 0.7453054, -0.980665, 9.6497436, 0.0
2, 71, 0001, 1706020981.365273, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
3, 51, 0001, 1706020981.437958, 75, 0.7453054, -0.980665, 9.6497436, 0.0
5, 54, 0001, 1706020981.427694, 75, 0.7453054, -0.980665, 9.6497436, 0.0
4, 52, 0001, 1706020981.363451, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
1, 35, 0001, 1706020981.48986, 75, 0.7453054, -0.980665, 9.6497436, 0.0
6, 43, 0001, 1706020981.40842, 75, 0.7453054, -0.980665, 9.6497436, 0.0
5, 58, 0001, 1706020981.526235, 75, 0.7453054, -0.980665, 9.6497436, 0.0
1, 35, 0001, 1706020981.594913, 76, -0.4314926, 0.1176798, 9.1790244, 0.0
6, 46, 0001, 1706020981.507232, 76, -0.4314926, 0.1176798, 9.1790244, 0.0
2, 45, 0001, 1706020981.559194, 73, 0.9022118, 1.2160246, 11.6503002, 0.0
